Codigo;Descripcion;Categoria;PrecioCoste;PrecioVenta;IVA;Existencia;StockMinimo;PrecioOferta
8437020000000;Valeriana Ampollas 20ud;Herbolario & Fitoterapia;13,38;22,53;21;30;4;
8437020000001;Pasiflora Comprimidos 90ud;Herbolario & Fitoterapia;4,45;8,02;21;31;4;
8437020000002;Equinácea Jarabe 250ml;Herbolario & Fitoterapia;14,97;25,00;21;35;2;
8437020000003;Cardo Mariano Jarabe 250ml;Herbolario & Fitoterapia;10,82;22,81;21;17;3;
8437020000004;Própolis Jarabe 250ml;Herbolario & Fitoterapia;4,13;7,77;21;30;3;
8437020000005;Harpagofito Tintura 50ml;Herbolario & Fitoterapia;12,63;24,22;21;7;5;
8437020000006;Ginkgo Biloba Extracto Seco 60cap;Herbolario & Fitoterapia;10,59;21,50;21;1;5;
8437020000007;Diente de León Jarabe 250ml;Herbolario & Fitoterapia;12,36;24,93;21;26;2;30,03
8437020000008;Cola de Caballo Jarabe 250ml;Herbolario & Fitoterapia;11,96;23,61;21;19;2;
8437020000009;Boldo Jarabe 250ml;Herbolario & Fitoterapia;6,95;13,11;21;22;5;
8437020000010;Alcachofa Jarabe 250ml;Herbolario & Fitoterapia;13,33;25,67;21;25;3;
8437020000011;Regaliz Comprimidos 90ud;Herbolario & Fitoterapia;5,55;10,60;21;0;2;
8437020000012;Espino Blanco Extracto Seco 60cap;Herbolario & Fitoterapia;7,27;12,24;21;2;3;
8437020000013;Melisa Comprimidos 90ud;Herbolario & Fitoterapia;8,59;17,94;21;4;3;
8437020000014;Hipérico Extracto Seco 60cap;Herbolario & Fitoterapia;7,94;15,01;21;18;5;
8437020000015;Ortiga Verde Tintura 50ml;Herbolario & Fitoterapia;4,84;9,79;21;19;5;
8437020000016;Fucus Tintura 50ml;Herbolario & Fitoterapia;4,96;8,62;21;19;4;
8437020000017;Ginseng Rojo Ampollas 20ud;Herbolario & Fitoterapia;9,29;17,83;21;32;4;
8437020000018;Rhodiola Jarabe 250ml;Herbolario & Fitoterapia;13,18;24,75;21;32;2;
8437020000019;Uña de Gato Jarabe 250ml;Herbolario & Fitoterapia;8,52;16,72;21;31;4;
8437020000020;Valeriana Premium Comprimidos 90ud;Herbolario & Fitoterapia;9,56;19,07;21;4;2;
8437020000021;Pasiflora Premium Tintura 50ml;Herbolario & Fitoterapia;10,69;19,14;21;2;3;
8437020000022;Equinácea Premium Extracto Seco 60cap;Herbolario & Fitoterapia;13,50;23,24;21;0;3;
8437020000023;Cardo Mariano Premium Ampollas 20ud;Herbolario & Fitoterapia;8,78;18,73;21;11;4;
8437020000024;Própolis Premium Comprimidos 90ud;Herbolario & Fitoterapia;6,82;11,93;21;9;4;
8437020000025;Harpagofito Premium Jarabe 250ml;Herbolario & Fitoterapia;4,50;9,18;21;6;3;
8437020000026;Ginkgo Biloba Premium Extracto Seco 60cap;Herbolario & Fitoterapia;9,64;16,81;21;16;2;
8437020000027;Diente de León Premium Ampollas 20ud;Herbolario & Fitoterapia;12,68;22,15;21;12;4;
8437020000028;Cola de Caballo Premium Ampollas 20ud;Herbolario & Fitoterapia;6,72;12,53;21;8;2;
8437020000029;Boldo Premium Comprimidos 90ud;Herbolario & Fitoterapia;6,86;13,30;21;17;4;
8437020000030;Alcachofa Premium Extracto Seco 60cap;Herbolario & Fitoterapia;6,61;11,78;21;12;4;
8437020000031;Regaliz Premium Tintura 50ml;Herbolario & Fitoterapia;8,16;14,30;21;7;4;
8437020000032;Espino Blanco Premium Jarabe 250ml;Herbolario & Fitoterapia;4,89;8,21;21;15;5;
8437020000033;Melisa Premium Extracto Seco 60cap;Herbolario & Fitoterapia;10,10;18,82;21;9;4;
8437020000034;Hipérico Premium Extracto Seco 60cap;Herbolario & Fitoterapia;8,58;14,49;21;3;3;
8437020000035;Ortiga Verde Premium Ampollas 20ud;Herbolario & Fitoterapia;10,54;20,53;21;9;2;
8437020000036;Fucus Premium Comprimidos 90ud;Herbolario & Fitoterapia;12,14;24,29;21;2;4;
8437020000037;Ginseng Rojo Premium Extracto Seco 60cap;Herbolario & Fitoterapia;5,91;13,09;21;35;5;
8437020000038;Rhodiola Premium Ampollas 20ud;Herbolario & Fitoterapia;6,97;12,27;21;0;3;
8437020000039;Uña de Gato Premium Comprimidos 90ud;Herbolario & Fitoterapia;4,13;9,17;21;32;3;10,96
8437020000040;Valeriana Premium Premium Tintura 50ml;Herbolario & Fitoterapia;13,93;25,75;21;7;2;
8437020000041;Pasiflora Premium Premium Jarabe 250ml;Herbolario & Fitoterapia;4,67;8,37;21;12;2;
8437020000042;Equinácea Premium Premium Extracto Seco 60cap;Herbolario & Fitoterapia;9,54;18,25;21;38;2;
8437020000043;Cardo Mariano Premium Premium Ampollas 20ud;Herbolario & Fitoterapia;11,56;23,74;21;20;3;
8437020000044;Própolis Premium Premium Tintura 50ml;Herbolario & Fitoterapia;6,07;12,16;21;10;4;
8437020000045;Harpagofito Premium Premium Extracto Seco 60cap;Herbolario & Fitoterapia;4,08;8,85;21;23;5;11,06
8437020000046;Ginkgo Biloba Premium Premium Jarabe 250ml;Herbolario & Fitoterapia;12,54;22,23;21;27;4;
8437020000047;Diente de León Premium Premium Extracto Seco 60cap;Herbolario & Fitoterapia;11,03;23,29;21;7;2;
8437020000048;Cola de Caballo Premium Premium Comprimidos 90ud;Herbolario & Fitoterapia;8,30;17,84;21;31;5;
8437020000049;Boldo Premium Premium Comprimidos 90ud;Herbolario & Fitoterapia;7,18;12,21;21;32;3;
8437020000050;Magnesio Bisglicinato 30 sobres;Suplementación & Adaptógenos;9,48;15,96;21;25;4;20,98
8437020000051;Ashwagandha KSM-66 Polvo 200g;Suplementación & Adaptógenos;11,35;21,43;21;19;4;27,13
8437020000052;Vitamina D3 60cap;Suplementación & Adaptógenos;17,05;29,03;21;34;3;
8437020000053;Omega 3 120 comprimidos;Suplementación & Adaptógenos;15,73;31,52;21;35;2;
8437020000054;Colágeno Marino Polvo 200g;Suplementación & Adaptógenos;6,13;13,35;21;5;4;
8437020000055;Zinc Quelado Polvo 200g;Suplementación & Adaptógenos;14,62;28,19;21;36;2;
8437020000056;Probióticos 10 Cepas 90cap;Suplementación & Adaptógenos;8,47;14,70;21;23;3;
8437020000057;Melatonina 60cap;Suplementación & Adaptógenos;14,14;26,56;21;18;2;
8437020000058;Hierro Bisglicinato Polvo 200g;Suplementación & Adaptógenos;14,94;25,43;21;36;2;
8437020000059;Vitamina B12 Polvo 200g;Suplementación & Adaptógenos;9,32;18,98;21;8;3;
8437020000060;Coenzima Q10 90cap;Suplementación & Adaptógenos;8,81;14,86;21;29;3;
8437020000061;Multivitamínico 120 comprimidos;Suplementación & Adaptógenos;10,25;20,76;21;32;4;
8437020000062;Maca Andina 90cap;Suplementación & Adaptógenos;11,58;21,33;21;29;3;
8437020000063;Espirulina 30 sobres;Suplementación & Adaptógenos;11,91;24,25;21;36;5;
8437020000064;Chlorella 30 sobres;Suplementación & Adaptógenos;7,62;14,17;21;24;3;
8437020000065;L-Glutamina 120 comprimidos;Suplementación & Adaptógenos;12,69;21,77;21;8;3;
8437020000066;Triptófano 30 sobres;Suplementación & Adaptógenos;16,70;31,71;21;0;2;
8437020000067;Vitamina C Liposomal 60cap;Suplementación & Adaptógenos;16,31;28,66;21;13;5;
8437020000068;Selenio 60cap;Suplementación & Adaptógenos;9,33;20,29;21;22;2;
8437020000069;Cúrcuma con Pimienta Negra 30 sobres;Suplementación & Adaptógenos;7,84;14,26;21;0;2;
8437020000070;Magnesio Bisglicinato Premium 120 comprimidos;Suplementación & Adaptógenos;10,72;18,24;21;39;3;21,14
8437020000071;Ashwagandha KSM-66 Premium 90cap;Suplementación & Adaptógenos;7,40;12,77;21;35;4;
8437020000072;Vitamina D3 Premium 90cap;Suplementación & Adaptógenos;15,28;25,87;21;9;2;
8437020000073;Omega 3 Premium Polvo 200g;Suplementación & Adaptógenos;16,61;31,09;21;27;5;
8437020000074;Colágeno Marino Premium 60cap;Suplementación & Adaptógenos;6,02;13,10;21;22;3;15,92
8437020000075;Zinc Quelado Premium 120 comprimidos;Suplementación & Adaptógenos;13,01;26,97;21;31;4;
8437020000076;Probióticos 10 Cepas Premium Polvo 200g;Suplementación & Adaptógenos;5,96;10,01;21;22;3;
8437020000077;Melatonina Premium 60cap;Suplementación & Adaptógenos;6,28;13,28;21;39;5;
8437020000078;Hierro Bisglicinato Premium 120 comprimidos;Suplementación & Adaptógenos;10,01;21,45;21;16;5;
8437020000079;Vitamina B12 Premium 120 comprimidos;Suplementación & Adaptógenos;9,11;19,18;21;6;3;
8437020000080;Coenzima Q10 Premium Polvo 200g;Suplementación & Adaptógenos;7,76;14,14;21;23;3;
