Codigo;Descripcion;Categoria;PrecioCoste;PrecioVenta;IVA;Existencia;StockMinimo
8437012345678;Extracto de Propolis Puro 50ml;Herbolario & Fitoterapia;7,20;14,50;21;8;3
8437012345685;Ashwagandha KSM-66 Organica 60cap;Suplementacion & Adaptogenos;11,40;22,90;21;12;4
8437012345692;Infusion Digestiva Brisa de la Huerta 100g;Infusiones & Te;2,50;6,80;10;24;6
8437012345708;Aceite de Rosa Mosqueta Silvestre 30ml;Cosmetica Natural;9,10;18,20;21;3;5
8437012345715;Miel Cruda de Azahar Vega Baja 500g;Despensa Consciente;4,80;9,50;10;15;5
8437012345722;Magnesio Bisglicinato 90cap;Suplementacion & Adaptogenos;9,60;19,90;21;0;4
8437012345739;Te Verde Sencha Granel 100g;Infusiones & Te;1,90;5,20;10;30;8
8437012345746;Jabon Natural de Avena y Miel 100g;Cosmetica Natural;1,60;4,50;21;18;6
8437012345753;Polen Fresco de Abeja 250g;Despensa Consciente;5,40;11,90;10;2;5
8437012345760;Cardo Mariano 60cap;Herbolario & Fitoterapia;6,80;13,50;21;9;4
